iter	Passed	Remaining
0	128	128100
1	130	65275
2	132	44197
3	135	33687
4	138	27531
5	141	23385
6	143	20336
7	145	17988
8	146	16132
9	148	14656
10	149	13453
11	151	12441
12	152	11593
13	154	10848
14	156	10258
15	157	9706
16	159	9203
17	160	8755
18	161	8357
19	163	7999
20	164	7676
21	165	7377
22	167	7101
23	168	6846
24	170	6660
25	172	6448
26	173	6249
27	174	6060
28	175	5880
29	177	5726
30	178	5580
31	179	5436
32	180	5301
33	182	5175
34	183	5067
35	185	4965
36	186	4862
37	188	4760
38	189	4661
39	190	4570
40	191	4482
41	192	4397
42	193	4314
43	195	4238
44	196	4166
45	197	4101
46	199	4045
47	200	3983
48	202	3922
49	203	3862
50	204	3813
51	206	3758
52	207	3703
53	208	3651
54	209	3601
55	210	3552
56	212	3514
57	214	3478
58	215	3434
59	216	3391
60	217	3350
61	218	3310
62	219	3270
63	221	3234
64	222	3197
65	223	3161
66	224	3125
67	225	3091
68	227	3067
69	228	3037
70	229	3009
71	231	2979
72	232	2951
73	233	2924
74	234	2894
75	235	2867
76	236	2839
77	237	2812
78	239	2787
79	240	2766
80	242	2752
81	243	2730
82	244	2701
83	245	2678
84	246	2658
85	248	2640
86	249	2618
87	250	2597
88	251	2575
89	252	2555
90	253	2535
91	254	2516
92	256	2498
93	258	2486
94	259	2468
95	260	2450
96	261	2433
97	262	2416
98	263	2398
99	264	2382
100	265	2367
101	267	2352
102	268	2336
103	269	2320
104	270	2304
105	272	2297
106	273	2283
107	275	2271
108	276	2257
109	277	2244
110	278	2230
111	279	2216
112	280	2203
113	281	2189
114	282	2177
115	284	2165
116	285	2151
117	287	2145
118	288	2134
119	289	2123
120	290	2111
121	291	2099
122	293	2090
123	294	2079
124	295	2068
125	296	2056
126	297	2044
127	298	2033
128	299	2022
129	301	2020
130	303	2013
131	304	2004
132	305	1993
133	306	1983
134	308	1973
135	309	1963
136	310	1955
137	311	1946
138	312	1937
139	313	1927
140	314	1918
141	315	1907
142	317	1903
143	319	1896
144	320	1887
145	321	1878
146	322	1870
147	323	1861
148	324	1852
149	325	1844
150	326	1835
151	327	1828
152	328	1821
153	330	1813
154	332	1814
155	334	1807
156	335	1799
157	336	1792
158	337	1786
159	338	1778
160	339	1769
161	340	1761
162	341	1754
163	342	1746
164	343	1740
165	345	1733
166	347	1732
167	348	1726
168	349	1719
169	350	1712
170	351	1705
171	352	1698
172	354	1693
173	355	1687
174	356	1681
175	357	1675
176	359	1669
177	360	1664
178	362	1661
179	363	1656
180	365	1651
181	366	1645
182	367	1639
183	368	1632
184	369	1626
185	370	1620
186	371	1615
187	372	1610
188	374	1608
189	376	1605
190	378	1601
191	379	1596
192	380	1591
193	382	1589
194	384	1586
195	385	1581
196	386	1575
197	387	1569
198	388	1564
199	390	1560
200	392	1558
201	393	1553
202	394	1548
203	395	1543
204	396	1538
205	397	1533
206	399	1529
207	400	1524
208	401	1519
209	402	1515
210	403	1510
211	405	1506
212	406	1503
213	408	1499
214	409	1494
215	410	1490
216	411	1485
217	412	1479
218	413	1475
219	414	1470
220	415	1466
221	417	1462
222	418	1458
223	420	1455
224	421	1452
225	422	1447
226	423	1443
227	424	1438
228	426	1435
229	427	1431
230	428	1427
231	429	1422
232	431	1419
233	432	1415
234	433	1411
235	435	1409
236	437	1407
237	438	1403
238	439	1399
239	440	1395
240	442	1392
241	443	1390
242	445	1387
243	446	1383
244	447	1380
245	448	1375
246	451	1374
247	452	1371
248	453	1368
249	454	1364
250	456	1360
251	457	1356
252	458	1352
253	459	1349
254	460	1345
